,game_date,game_id,batter_id,at_bats,hits,strikeouts,strikeouts_looking,base_on_balls,hit_by_pitch,singles,doubles,triples,hrs,bip_location,name
258,4/15/2023 12:00,218035,1651897,1,0,0,0,0,0,0,0,0,0,4,Me***e
259,4/18/2023 15:00,224294,1651898,1,0,0,0,0,0,0,0,0,0,4,Bo**********t
260,4/18/2023 15:00,224294,1600251,1,1,0,0,0,0,1,0,0,0,15,Ka******r
261,4/18/2023 15:00,224294,1600762,1,0,1,0,0,0,0,0,0,0,NULL,St*****y
262,4/18/2023 15:00,224294,1600675,1,0,1,0,0,0,0,0,0,0,NULL,Do**d
263,4/18/2023 15:00,224294,1597876,1,0,0,0,0,0,0,0,0,0,15,Ba**l
264,4/18/2023 15:00,224294,1674816,1,0,0,0,0,0,0,0,0,0,4,Vo*****a
265,4/18/2023 15:00,224294,1651897,1,0,0,0,0,0,0,0,0,0,4,Me***e
266,4/18/2023 15:00,224294,1674820,1,0,0,0,0,0,0,0,0,0,2,Gr*****d
267,4/18/2023 15:00,224294,1599778,1,0,0,0,0,0,0,0,0,0,13,Wo**d
268,4/18/2023 15:00,224294,1651898,1,0,0,0,0,0,0,0,0,0,2,Bo**********t
269,4/18/2023 15:00,224294,1600251,1,0,0,0,0,0,0,0,0,0,6,Ka******r
270,4/18/2023 15:00,224294,1600762,1,0,0,0,0,0,0,0,0,0,11,St*****y
271,4/18/2023 15:00,224294,1600675,1,1,0,0,0,0,1,0,0,0,5,Do**d
272,4/18/2023 15:00,224294,1597876,1,1,0,0,0,0,1,0,0,0,10,Ba**l
273,4/18/2023 15:00,224294,1674816,1,1,0,0,0,0,1,0,0,0,7,Vo*****a
274,4/18/2023 15:00,224294,1651897,1,0,0,0,0,0,0,0,0,0,15,Me***e
275,4/18/2023 15:00,224294,1674820,1,0,0,0,0,0,0,0,0,0,4,Gr*****d
276,4/18/2023 15:00,224294,1599778,1,1,0,0,0,0,1,0,0,0,13,Wo**d
277,4/18/2023 15:00,224294,1651898,1,1,0,0,0,0,1,0,0,0,NULL,Bo**********t
278,4/18/2023 15:00,224294,1600251,1,0,0,0,0,0,0,0,0,0,13,Ka******r
279,4/18/2023 15:00,224294,1600762,0,0,0,0,1,0,0,0,0,0,NULL,St*****y
