"Name","Team","Pos","G","GS","Inn","PO","A","E","FE","TE","DP","DPS","DPT","DPF","Scp","SB","CS","PB","WP","FP","TZ","playerid"
"Jeff Bagwell","HOU","1B","805","802","7033.2","6503","593","43","15","7","590","26","2","349","43","","","","",".994","1","547"
"Brian Giles","- - -","RF","821","811","7172.2","1595","35","31","22","8","0","11","0","0","","","","","",".981","1","990"
"Scott Brosius","NYY","3B","254","253","2227.0","182","468","33","","","44","","","","","","","","",".952","1","1001477"
"Steve Finley","- - -","CF","980","905","8137.0","2176","45","20","13","2","5","11","0","0","","","","","",".991","0","54"
"Luis Castillo","- - -","2B","1402","1375","12000.2","2682","3734","90","45","20","807","264","379","42","","","","","",".986","0","513"
"A.J. Pierzynski","- - -","C","1920","1822","16238.2","12536","816","68","8","42","28","64","15","17","","1076","348","101","679",".995","0","746"
"Barry Bonds","SFG","LF","914","904","7485.0","1559","45","30","19","1","5","5","0","0","","","","","",".982","0","1109"
"Will Clark","- - -","1B","122","117","1011.0","948","70","9","","","92","","","","","","","","",".991","0","1002318"
"Tino Martinez","- - -","1B","814","750","6600.1","6215","472","31","11","7","547","26","7","355","41","","","","",".995","-1","1168"
"Jermaine Dye","- - -","RF","1309","1298","11299.2","2429","66","43","21","9","4","12","1","0","","","","","",".983","-2","911"
"Royce Clayton","- - -","SS","1014","956","8436.2","1457","2803","88","37","28","554","199","196","19","","","","","",".980","-3","226"
"Juan Encarnacion","- - -","RF","769","726","6378.1","1416","32","28","19","5","0","8","0","0","","","","","",".981","-3","320"
"Aramis Ramirez","- - -","3B","2024","2007","17257.0","1155","3483","232","111","80","238","202","12","21","","","","","",".952","-3","1002"
"Pat Meares","PIT","SS","126","125","1075.0","191","401","20","","","99","","","","","","","","",".967","-3","1008712"
"Mickey Morandini","- - -","2B","120","113","1002.2","237","288","6","","","73","","","","","","","","",".989","-3","1009151"
"David Eckstein","- - -","SS","975","956","8302.0","1431","2666","93","39","39","556","258","233","47","","","","","",".978","-4","10"
"Miguel Tejada","- - -","SS","1657","1643","14408.2","2378","4936","204","96","67","1007","421","396","54","","","","","",".973","-4","941"
"Paul Konerko","CHW","1B","1781","1757","15252.1","14984","1028","78","40","18","1485","119","18","1266","296","","","","",".995","-5","242"
"Mark Grudzielanek","- - -","2B","1122","1080","9405.2","2032","3114","70","31","12","705","201","351","21","","","","","",".987","-5","653"
"Albert Belle","BAL","RF","110","110","953.1","211","8","3","","","2","","","","","","","","",".986","-5","1000802"
"Derrek Lee","- - -","1B","1682","1635","14485.2","13371","1193","88","62","8","1200","97","9","976","240","","","","",".994","-6","525"
"Preston Wilson","- - -","CF","755","735","6440.2","1697","45","30","21","2","6","3","0","0","","","","","",".983","-7","545"
"Lee Stevens","- - -","1B","358","347","3022.2","3083","228","37","6","1","272","9","1","61","8","","","","",".989","-8","796"
"Jason Kendall","- - -","C","1535","1517","13297.1","9750","709","99","8","62","36","51","14","18","","869","336","73","459",".991","-8","993"
"Paul O'Neill","NYY","RF","270","266","2247.2","503","6","6","","","3","","","","","","","","",".988","-8","1009818"
"Jose Vidro","- - -","2B","864","857","7320.2","1524","2323","56","26","11","462","127","177","31","","","","","",".986","-9","802"
"Deivi Cruz","- - -","SS","687","648","5670.2","926","1884","71","31","10","419","118","125","15","","","","","",".975","-9","1025"
"Bernie Williams","NYY","CF","780","754","6648.1","1824","18","11","8","1","2","4","0","0","","","","","",".994","-10","857"
"Jimmy Rollins","- - -","SS","2228","2193","19513.2","2985","6136","154","81","58","1181","588","493","64","","","","","",".983","-11","971"
"Chipper Jones","ATL","3B","1285","1266","10932.1","760","2239","141","61","35","172","137","12","14","","","","","",".955","-12","97"
"Travis Fryman","CLE","3B","362","354","3064.2","197","598","30","6","4","57","23","0","4","","","","","",".964","-12","385"
"Craig Biggio","HOU","2B","780","770","6605.0","1435","2020","57","36","4","428","100","189","14","","","","","",".984","-14","549"
